ID,calculated_area_roof,actual_area_roof,calculated_beta,actual_beta,calculated_gamma,actual_gamma,roofShape
urn:ngsi-ld:Building:52078Buschstrasse1c_roof_1,69.1764000000,26.0000000000,35,36.0000000000,0,70.0000000000,sloped
urn:ngsi-ld:Building:52078Buschstrasse1c_roof_2,69.1764000000,23.0000000000,35,38.0000000000,0,246.0000000000,sloped
urn:ngsi-ld:Building:52078Buschstrasse1c_roof_1,69.1764000000,26.0000000000,35,36.0000000000,0,70.0000000000,sloped
urn:ngsi-ld:Building:52078Buschstrasse1c_roof_2,69.1764000000,23.0000000000,35,38.0000000000,0,246.0000000000,sloped
urn:ngsi-ld:Building:52078Buschstrasse1c_roof_1,69.1764000000,26.0000000000,35,36.0000000000,0,70.0000000000,sloped
urn:ngsi-ld:Building:52078Buschstrasse1c_roof_2,69.1764000000,23.0000000000,35,38.0000000000,0,246.0000000000,sloped
urn:ngsi-ld:Building:52078Buschstrasse1c_roof_1,69.1764000000,26.0000000000,35,36.0000000000,0,70.0000000000,sloped
urn:ngsi-ld:Building:52078Buschstrasse1c_roof_2,69.1764000000,23.0000000000,35,38.0000000000,0,246.0000000000,sloped
urn:ngsi-ld:Building:52078Buschstrasse1c_roof_1,69.1764000000,26.0000000000,35,36.0000000000,0,70.0000000000,sloped
urn:ngsi-ld:Building:52078Buschstrasse1c_roof_2,69.1764000000,23.0000000000,35,38.0000000000,0,246.0000000000,sloped
urn:ngsi-ld:Building:52078Buschstrasse1c_roof_1,69.1764000000,26.0000000000,35,36.0000000000,0,70.0000000000,sloped
urn:ngsi-ld:Building:52078Buschstrasse1c_roof_2,69.1764000000,23.0000000000,35,38.0000000000,0,246.0000000000,sloped
urn:ngsi-ld:Building:52078Buschstrasse1c_roof_1,69.1764000000,26.0000000000,35,36.0000000000,0,70.0000000000,sloped
urn:ngsi-ld:Building:52078Buschstrasse1c_roof_2,69.1764000000,23.0000000000,35,38.0000000000,0,246.0000000000,sloped
urn:ngsi-ld:Building:52078Buschstrasse1c_roof_1,69.1764000000,26.0000000000,35,36.0000000000,0,70.0000000000,sloped
urn:ngsi-ld:Building:52078Buschstrasse1c_roof_2,69.1764000000,23.0000000000,35,38.0000000000,0,246.0000000000,sloped
